Titles,Domestic gross total,Genre,Release Date,Number of Theaters,Production budget,Number of views,Number of editors,Number of edits
https://www.boxofficemojo.com/movies/?id=thehouse.htm,0.8329958295111314,0.6752612550804861,0.43001790401490025,0.4977065221334315,0.46408012598394166,0.6465449493775898,0.10716003980642352,0.748923163518265
https://www.boxofficemojo.com/movies/?id=allthemoneyintheworld.htm,0.44993425231542894,0.26537204295312644,0.5973082549166618,0.08704728629795822,0.6109364465621556,0.49922671689883047,0.9979264772565508,0.3641917425976081
https://www.boxofficemojo.com/movies/?id=gifted.htm,0.4218735418900471,0.6570429820650515,0.05576371835365357,0.7314622125286676,0.991926377153449,0.8702491477164267,0.1331421312675921,0.13555276856570353
https://www.boxofficemojo.com/movies/?id=downsizing.htm,0.05516730573572237,0.061250851713987586,0.12314717807906683,0.8987768575721663,0.9980932205834893,0.677741460935575,0.49964797930905214,0.05098096066800506
https://www.boxofficemojo.com/movies/?id=thebyebyeman.htm,0.5375435628859291,0.37655202822320066,0.04864535272756054,0.34500246538403867,0.8701257490285648,0.051646715447299374,0.6972389012674932,0.15697261536314955
https://www.boxofficemojo.com/movies/?id=victoriaandabdul.htm,0.384989064189321,0.7995665651072673,0.3921537918083041,0.490355741706497,0.9728158050943148,0.1311259688220182,0.1188785697466953,0.7942599366807368
https://www.boxofficemojo.com/movies/?id=rockthatbody.htm,0.6717363130606316,0.7457094759817912,0.15119233024394974,0.644631978489772,0.5378938262707353,0.8306813895529741,0.055225403377034965,0.922493179836613
https://www.boxofficemojo.com/movies/?id=mylittlepony2017.htm,0.3901365423586245,0.4445647381833616,0.9033788209575401,0.17223598060316314,0.312154407598614,0.30420291089388196,0.7992714776094427,0.9491838351411003
https://www.boxofficemojo.com/movies/?id=leap.htm,0.5053547116687893,0.9829466511533164,0.8871404653556481,0.41244489453380384,0.3296545472436295,0.40644740343307906,0.19971876037165526,0.6783553292188703
https://www.boxofficemojo.com/movies/?id=thedisasterartist.htm,0.26390734679884,0.5997109729319556,0.021304179365642772,0.9185969710020309,0.20687983637449592,0.9638520237760106,0.5906212246488086,0.6129779575626803
https://www.boxofficemojo.com/movies/?id=paulthomasanderson2017.htm,0.6240882105707035,0.8545699382040646,0.9043634220508678,0.0914852752158073,0.330094265050088,0.8983595266337341,0.05165333068421318,0.21755105778426742
https://www.boxofficemojo.com/movies/?id=sleepless.htm,0.34747453291876007,0.9498783757688304,0.1371780346123137,0.3758381551162763,0.7916735058262079,0.6996560301238705,0.8454081701341541,0.9801800477798099
https://www.boxofficemojo.com/movies/?id=diaryofawimpykid4.htm,0.20435659161729647,0.5250430429227455,0.6872830644213984,0.6322833673665601,0.15263771353028488,0.4405373801287731,0.7453109408413875,0.6102611118588568
https://www.boxofficemojo.com/movies/?id=thecircle2017.htm,0.7167783895483377,0.34566157627254923,0.5223182213650802,0.45865437612861637,0.6385084635273999,0.11079046010074434,0.5054473133382383,0.20429396173863734
https://www.boxofficemojo.com/movies/?id=baahubali2.htm,0.6415815212956248,0.14827168395070012,0.856405564056894,0.711320937000477,0.4371790870283925,0.8414478522950631,0.586441395943391,0.9804012331444487
https://www.boxofficemojo.com/movies/?id=chips.htm,0.4776851069546627,0.21199037735547455,0.921615402850682,0.5072038308626714,0.02644430677847065,0.43056880958323807,0.7035823682550778,0.6481914952471342
https://www.boxofficemojo.com/movies/?id=granitemountain.htm,0.08166024713595921,0.12185360843906379,0.5150556576892923,0.8821045218048633,0.5111420832601733,0.941401025640672,0.45884815943560775,0.6969859675382635
https://www.boxofficemojo.com/movies/?id=callmebyyourname.htm,0.5253393736507395,0.5250522935535364,0.05447884910596712,0.4415222765197844,0.18194745235395549,0.731991837411512,0.3311888161619384,0.35025877207575384
https://www.boxofficemojo.com/movies/?id=mother2017.htm,0.7662632190530537,0.12131418660374149,0.58891327878126,0.6827121715926366,0.42664198894033356,0.9628948703508405,0.7914792210518992,0.8634686727336881
https://www.boxofficemojo.com/movies/?id=zookeeperswife.htm,0.020240074024641563,0.6280133565392179,0.3796699142397312,0.8776250794924216,0.1026810790525885,0.08009356670274148,0.4510234579406256,0.1800808095672165
https://www.boxofficemojo.com/movies/?id=bastards2016.htm,0.28174848441328915,0.6386917055002119,0.07032967568559556,0.320712723963681,0.4735324236356675,0.8632010926089183,0.9420766642966377,0.28685954867575214
https://www.boxofficemojo.com/movies/?id=theglasscastle.htm,0.08316778647133682,0.07647814100126304,0.11124690936782089,0.26017179304317883,0.8448612748673585,0.9860302831254226,0.02363917530595805,0.6513309203434886
https://www.boxofficemojo.com/movies/?id=flatliners2017.htm,0.4160373035645252,0.7810167198421889,0.18952043605722357,0.3963471288650158,0.6862361633803407,0.3254344084963273,0.7625439174436184,0.14569536773684066
https://www.boxofficemojo.com/movies/?id=detroit.htm,0.9052438522831533,0.38891537056797487,0.48993958329618037,0.5569438098412306,0.21431227753743398,0.46738710717893417,0.6679490957145703,0.9988823924513708
https://www.boxofficemojo.com/movies/?id=thecaseforchrist.htm,0.5417185781248371,0.32564655969898726,0.9190716978284663,0.11227652836204927,0.5194649252453095,0.7411441657075745,0.6083725695413493,0.08578558108717205
https://www.boxofficemojo.com/movies/?id=wishupon.htm,0.39973240201832816,0.12331222909779993,0.01496075726619095,0.8729200014153975,0.9270759203272634,0.23527244003932724,0.6559031599380173,0.7324094413472995
https://www.boxofficemojo.com/movies/?id=itcomesatnight.htm,0.6658315561404533,0.4302284281035218,0.8726346196145528,0.3449509816737557,0.3621980098137234,0.550989777316002,0.5312015024436896,0.4296879482121311
https://www.boxofficemojo.com/movies/?id=borninchina.htm,0.294507259123056,0.7879781051052425,0.8936299484329311,0.6652567323696169,0.8686642768452878,0.014135164951466828,0.40317070909630726,0.6477651356216868
https://www.boxofficemojo.com/movies/?id=meganleavey.htm,0.005541530424636565,0.9803941810335051,0.2170418496028811,0.5750075268589029,0.276949296665684,0.42968090698484307,0.7507703933647325,0.8306491491092933
https://www.boxofficemojo.com/movies/?id=founder.htm,0.0048908225469294075,0.8242468990386059,0.37639050720910083,0.7152468492364905,0.1725608342320516,0.39885113715295983,0.8470633288584111,0.12297912389782262
https://www.boxofficemojo.com/movies/?id=battleofthesexes.htm,0.24345311882785214,0.26623715963618244,0.7567026706886927,0.6710562809002492,0.1331230690897116,0.9591976230749193,0.08839408019212924,0.8910778298692862
https://www.boxofficemojo.com/movies/?id=beforeifall.htm,0.5856239447130749,0.05977699751795118,0.18508009786026636,0.800707654084031,0.4497509755024519,0.5514227379154568,0.9595702417928685,0.4006884921185433
https://www.boxofficemojo.com/movies/?id=romanisrael.htm,0.11075843224191972,0.2432538952513128,0.18682424257101748,0.6619487826498748,0.24098919189419887,0.07205798802298613,0.5368911350607174,0.7508662669466367
https://www.boxofficemojo.com/movies/?id=unforgettable2016.htm,0.623012387090639,0.18841969902272626,0.6980816693485697,0.2035317783427234,0.8276280284316282,0.6560579387670792,0.4548550872267515,0.41673756847002275
https://www.boxofficemojo.com/movies/?id=thebeguiled2017.htm,0.6540495944872082,0.6885704596208808,0.4726627315419295,0.6171091244076404,0.6121090444253136,0.28313329628072537,0.508330460781746,0.045700840344607196
https://www.boxofficemojo.com/movies/?id=blumhousetilt2017.htm,0.07374983431843052,0.951317230296475,0.6364187517802744,0.6385707750681716,0.8218045669660061,0.2431556874046895,0.4182019231614289,0.7921538231170934
https://www.boxofficemojo.com/movies/?id=marshall.htm,0.2467141259017288,0.6791125087692212,0.8708885978926627,0.7535211634754625,0.2933827748439378,0.9268877736376083,0.6340463526837619,0.9982003088766436
https://www.boxofficemojo.com/movies/?id=thankyou2017.htm,0.7211183986499733,0.2816231500990446,0.012878287959173562,0.4851090737238021,0.7577645223370272,0.3956551270608033,0.17242043693342235,0.6293441780672322
https://www.boxofficemojo.com/movies/?id=rockdog.htm,0.5780906984727517,0.43742420487593703,0.3237376197094154,0.9759742534064834,0.8726957034885676,0.6802191645076707,0.5395617290583341,0.6310967858315147
https://www.boxofficemojo.com/movies/?id=thelostcityofz.htm,0.4414368411838826,0.9400431441040569,0.06559040377880299,0.46498890358716494,0.27990669944993485,0.21540377588554616,0.8304000868140896,0.9010872608041727
https://www.boxofficemojo.com/movies/?id=thepromise2017.htm,0.9770343772614402,0.7330129239114568,0.038750809370287964,0.8330766628417495,0.0879013773547681,0.06005323699906051,0.8572130646796687,0.13806991343077646
https://www.boxofficemojo.com/movies/?id=acureforwellness.htm,0.19525544839164832,0.7856753996746589,0.7290596429310148,0.5624005825673414,0.14251943937620426,0.9560544895835833,0.9035967400584841,0.4301468037197842
https://www.boxofficemojo.com/movies/?id=thespacebetweenus.htm,0.9703240651669431,0.8460364907381274,0.27599211732330653,0.9560392632726812,0.09496022302775631,0.8740039147047509,0.049906142669478126,0.8518892632681117
https://www.boxofficemojo.com/movies/?id=lettherebelight.htm,0.8301687934821759,0.8797947708817093,0.19421115361445496,0.788766937980251,0.8724649740029582,0.0029370409916198437,0.8030959668565111,0.8132934823057052
https://www.boxofficemojo.com/movies/?id=gold.htm,0.4324253225444066,0.003346918698011958,0.2785871645906597,0.2604536822423582,0.8533838855582663,0.6786326210178482,0.3024727126253959,0.19820008792429933
https://www.boxofficemojo.com/movies/?id=iamnotyournegro.htm,0.9317743636948677,0.6897624640035392,0.32547288744640357,0.9268472597796031,0.8995788010888845,0.5388659665223671,0.41516333239284275,0.5275877532337764
https://www.boxofficemojo.com/movies/?id=beatrizatdinner.htm,0.7000316155374641,0.8930361805546764,0.06462566904174527,0.006502534894359258,0.7656650040484368,0.9743515138298585,0.9491071166631169,0.7590850286115455
https://www.boxofficemojo.com/movies/?id=birthofthedragon.htm,0.16769330220358847,0.3689203360521818,0.6100951306590352,0.9151888894606002,0.4819590181293306,0.016344514788986353,0.7524767600979041,0.24609571683574938
https://www.boxofficemojo.com/movies/?id=lovingvincent.htm,0.1577621066678485,0.6556604557671654,0.37442056725069517,0.49676126696006906,0.37264986216820795,0.7811208347941087,0.835559948948304,0.6371681146129763
https://www.boxofficemojo.com/movies/?id=thesnowman.htm,0.5070594371700703,0.6919733506689428,0.9619721801759502,0.3361469175820667,0.6282482503182946,0.8667177695229259,0.4607781852131265,0.8137583771502883
